nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 651 C,17.00,5.00,2.00,3.00,15.00,5.00,2.00,0.00
PANTONE 652 C,28.00,8.00,2.00,7.00,28.00,8.00,2.00,3.00
PANTONE 653 C,70.00,28.00,8.00,8.00,70.00,28.00,8.00,8.00
PANTONE 654 C,90.00,43.00,0.00,24.00,90.00,43.00,0.00,24.00
PANTONE 655 C,85.00,50.00,0.00,30.00,85.00,50.00,0.00,30.00
PANTONE 656 C,4.00,0.00,0.00,0.00,2.50,0.50,0.00,0.50
PANTONE 657 C,8.00,1.00,0.00,1.00,5.00,1.00,0.00,0.00
PANTONE 658 C,18.00,3.00,0.00,1.00,15.00,3.00,0.00,0.00
PANTONE 659 C,37.00,8.00,0.00,1.00,35.00,8.00,0.00,0.00
PANTONE 659 U,26.00,5.00,0.00,0.00,26.00,5.00,0.00,0.00
PANTONE 660 C,74.00,11.00,0.00,1.00,69.00,13.00,0.00,0.00
PANTONE 661 C,81.00,27.00,0.00,2.50,80.00,18.50,0.00,2.50
PANTONE 662 C,100.00,45.00,10.00,0.00,100.00,45.00,10.00,0.00
PANTONE 666 C,29.00,22.00,5.00,5.00,30.00,25.00,10.00,0.00
PANTONE 667 C,41.00,33.00,10.00,0.00,41.00,33.00,10.00,0.00
PANTONE 669 C,80.00,78.00,0.00,8.00,80.00,78.00,0.00,8.00
PANTONE 675 C,23.00,89.00,0.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 695 C,22.00,43.00,30.00,0.00,22.00,43.00,30.00,0.00
PANTONE 701 C,0.00,28.00,12.00,3.00,0.00,28.00,12.00,3.00
PANTONE 704 C,18.00,76.00,77.00,1.00,18.00,76.00,77.00,1.00
PANTONE 706 C,0.00,6.00,1.00,0.00,0.00,3.00,1.00,0.00
PANTONE 710 C,4.00,70.00,28.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 711 C,3.00,84.00,100.00,0.00,3.00,84.00,100.00,0.00
PANTONE 715 C,0.00,29.00,68.00,0.00,0.00,24.00,68.00,0.00
PANTONE 716 C,0.00,33.00,86.00,1.00,0.00,28.00,86.00,1.00
PANTONE 717 C,3.00,39.00,89.00,0.00,3.00,34.00,83.00,0.00
PANTONE 720 C,1.00,13.00,23.00,6.00,0.00,6.00,23.00,2.00
PANTONE 722 C,12.00,30.00,80.00,1.00,12.00,30.00,80.00,1.00
PANTONE 723 C,5.00,35.00,89.00,15.00,2.00,35.00,89.00,10.00
PANTONE 730 C,28.00,42.00,100.00,0.00,28.00,37.00,100.00,0.00
PANTONE 731 C,42.00,62.00,100.00,0.00,42.00,49.00,100.00,0.00
PANTONE 732 C,44.00,70.00,100.00,20.00,3.00,47.00,80.00,42.00
PANTONE 7401 C,0.00,5.00,18.00,0.00,0.00,2.00,10.00,0.00
